top1,hits_at_1,hits_at_3,hits_at_5,hit_at_1,precision_at_3,precision_at_5,mrr,best_hit_rank,miss_as_top1,family,dataset,task,kind,method,seed,fold,n_hit_candidates,recall_at_1,recall_at_3,recall_at_5
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,1,1,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,1,2,0,0.0,0.0,0.0
composition::Tumor (Myoepithelial),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,1,3,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,1,4,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,2,0,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,2,1,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,2,2,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,2,3,0,0.0,0.0,0.0
composition::Tumor (p53+ EGFR+),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,lasso,2,4,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,0,0,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,0,1,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,0,2,0,0.0,0.0,0.0
composition::Tumor (Myoepithelial),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,0,3,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,0,4,0,0.0,0.0,0.0
composition::Tumor (Myoepithelial),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,1,0,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,1,1,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,1,2,0,0.0,0.0,0.0
composition::Tumor (Myoepithelial),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,1,3,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,1,4,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,2,0,0,0.0,0.0,0.0
composition::Tumor (Myoepithelial),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,2,1,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,2,2,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,2,3,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_cd8_tumor_contact,spatial,shap,2,4,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,0,0,0,0.0,0.0,0.0
composition::Tumor (p53+ EGFR+),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,0,1,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,0,2,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,0,3,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,0,4,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,1,0,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,1,1,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,1,2,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,1,3,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,1,4,0,0.0,0.0,0.0
composition::Tumor (Myoepithelial),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,2,0,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,2,1,0,0.0,0.0,0.0
composition::Tumor (p53+ EGFR+),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,2,2,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,2,3,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,lasso,2,4,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,0,0,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,0,1,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,0,2,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,0,3,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,0,4,0,0.0,0.0,0.0
composition::T & B cells,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,1,0,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,1,1,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,1,2,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,1,3,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,1,4,0,0.0,0.0,0.0
composition::Tumor (Myoepithelial),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,2,0,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,2,1,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,2,2,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,2,3,0,0.0,0.0,0.0
composition::Tumor (CK lo HR lo),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_macrophage_tumor_niche,spatial,shap,2,4,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,0,0,0,0.0,0.0,0.0
composition::Tumor (Myoepithelial),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,0,1,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,0,2,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,0,3,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,0,4,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,1,0,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,1,1,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,1,2,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,1,3,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,1,4,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,2,0,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,2,1,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,2,2,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,2,3,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,lasso,2,4,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,0,0,0,0.0,0.0,0.0
composition::Tumor (p53+ EGFR+),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,0,1,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,0,2,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,0,3,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,0,4,0,0.0,0.0,0.0
composition::Tumor (Myoepithelial),0,0,0,0,0.0,0.0,0.0,,True,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,1,0,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,1,1,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,1,2,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,1,3,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,1,4,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,2,0,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,2,1,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,2,2,0,0.0,0.0,0.0
composition::Macrophage,0,0,0,0,0.0,0.0,0.0,,False,composition,bc_jackson2020,motif_t_tumor_mixing,spatial,shap,2,3,0,0.0,0.0,0.0
